NQUEST,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YM,YM1,YM2,YM3,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
56445,81593.682108,70000,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,11593.682108,12000,0,12000,-406.317892,1033.682108,0,0,1440
56457,55300,0,0,0,36140,36140,36140,0,0,0,0,0,1800,1800,0,0,17360,12000,0,12000,5360,660,0,4700,0
56458,171107.69248,26000,26000,0,24700,24700,24700,0,0,0,0,0,75000,0,0,75000,45407.692478,12000,0,12000,33407.692478,2164.7623068,1632.4301828,29610.499988,0
56465,37576,30000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,7576,7200,0,7200,376,0,0,376,0
56467,139945.02632,78000,75000,3000,-5000,0,0,0,-5000,0,0,-5000,36000,36000,0,0,30945.026322,15945.026322,3945.0263222,12000,15000,3520,11480,0,0
56473,27380,0,0,0,8450,8450,8450,0,0,0,0,0,14000,14000,0,0,4930,0,0,0,4930,3520,0,1410,0
56500,27645.025086,16000,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,11645.025086,10850,0,10850,795.02508609,1595.0250861,0,0,800
56508,35789.174916,27000,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,8789.1749157,7200,0,7200,1589.1749157,1589.1749157,0,0,0
56529,103110,0,0,0,0,0,0,0,0,0,0,0,75000,80000,5000,0,28110,60000,25000,35000,-31890,110,0,0,32000
56533,35634,25000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,10634,9600,0,9600,1034,1034,0,0,0
56563,72250,15000,15000,0,49150,49150,49150,0,0,0,0,0,0,0,0,0,8100,5800,0,5800,2300,660,1640,0,0
56568,53123.540719,29400,29400,0,15700,15700,15700,0,0,0,0,0,0,0,0,0,8023.5407191,7200,0,7200,823.54071914,823.54071914,0,0,0
56572,54244,29000,29000,0,13390,13390,13390,0,0,0,0,0,4000,0,0,4000,7854,6050,0,6050,1804,1804,0,0,0
56574,86142,56000,54000,2000,0,0,0,0,0,0,0,0,0,0,0,0,30142,33600,15600,18000,-3458,1342,0,0,4800
56575,37300,0,0,0,27300,27300,27300,0,0,0,0,0,0,0,0,0,10000,8900,0,8900,1100,1100,0,0,0
56577,48407,0,0,0,36275,36275,34775,1500,0,0,0,0,0,0,0,0,12132,12000,0,12000,132,132,0,0,0
56582,46912.883685,37800,37800,0,0,0,0,0,0,0,0,0,0,0,0,0,9112.8836852,8400,0,8400,712.88368517,712.88368517,0,0,0
56589,15600,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56593,49117.923395,26000,26000,0,6000,6000,6000,0,0,0,0,0,0,0,0,0,17117.923395,3300,0,3300,13817.923395,5377.9233945,6560,1880,0
56594,39662.056839,27200,27200,0,0,0,0,0,0,0,0,0,0,0,0,0,12462.056839,12000,0,12000,462.05683939,462.05683939,0,0,0
56603,37049.413559,25000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,12049.413559,10600,0,10600,1449.4135588,448.08610698,0,1001.3274518,0
56608,59387.181353,46000,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,13387.181353,10800,0,10800,2587.1813528,572,0,5215.1813528,3200
56610,36236.158279,0,0,0,26585,26585,26585,0,0,0,0,0,0,0,0,0,9651.1582787,9600,0,9600,51.15827873,51.15827873,0,0,0
56615,47308.410985,38000,38000,0,0,0,0,0,0,0,0,0,0,0,0,0,9308.4109854,8400,0,8400,908.41098542,908.41098542,0,0,0
56624,64966,55500,55500,0,0,0,0,0,0,0,0,0,0,0,0,0,9466,8400,0,8400,1066,220,0,846,0
56629,26488,0,0,0,0,0,0,0,0,0,0,0,14000,14000,0,0,12488,12400,2800,9600,88,88,0,0,0
56632,51384,0,0,0,39000,39000,39000,0,0,0,0,0,0,0,0,0,12384,10800,0,10800,1584,1584,0,0,0
56642,67988,29080,28000,1080,26000,26000,26000,0,0,0,0,0,0,0,0,0,12908,13800,0,13800,-892,308,0,0,1200
