NQUEST,NORD,INTPER,NATTIVITA,TIPOPEN,ENTEPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE
672620,1,1,1,1,1,2020,900,13,2,,70
672679,1,1,1,1,1,2000,1778,13,2,,72
672679,2,1,1,1,1,2021,1080,13,2,,60
673050,1,1,1,1,1,2002,1560,13,2,,85
673050,2,2,1,1,1,2008,560,14,2,,50
673451,1,1,1,1,1,2014,3500,13,2,,70
673451,2,1,1,1,1,2017,1700,13,2,,90
673540,1,1,1,1,1,1992,830,13,2,,60
673661,1,1,1,1,1,2005,2000,13,2,,90
673661,2,2,1,1,1,2019,1700,13,2,,80
673816,1,1,1,1,1,1998,1450,13,2,,80
673816,2,2,1,1,1,2007,400,13,2,,60
673847,1,1,1,1,1,2010,700,13,2,,80
673847,1,1,2,5,1,2017,300,13,2,,
673963,1,1,1,1,1,1989,1230,13,2,,85
673963,1,1,2,3,1,1998,630,13,2,,
674196,1,1,1,1,1,2007,1000,13,2,,60
674196,2,1,1,2,1,2017,500,13,2,,
