NQUEST,NORD,SEX,PARENT,ANASC,MOTENT,NORDP,STACIV,STUDIO,TIPODIP,TIPOLAU,SALUTE,CRONIC,INVALID,APQUAL,ASNONOC,APSETT,INTPER,NCOMP,ETA,IREG,AREA5,AREA3,ACOM4C,CLETA,NPERC,PESOFL,NASCREG,NASCAREA
1742,2,2,2,1943,,2,1,3,,,4,2,2,2,,9,,4,52,17,4,3,2,4,3,0.2181063225,17,3
1742,3,1,3,1969,,3,2,5,1,,4,2,2,3,,9,,4,26,17,4,3,2,1,3,0.2181063225,17,3
1742,4,2,3,1971,,4,2,5,3,,5,2,2,17,,,,4,24,17,4,3,2,1,3,0.2181063225,17,3
1750,1,1,1,1924,,1,4,5,2,,4,2,2,6,,3,1,1,71,17,4,3,2,5,1,0.2317713723,16,3
1759,1,2,1,1914,,1,4,1,,,3,2,2,16,,,1,1,81,17,4,3,0,5,1,1.4615970216,17,3
1762,1,2,1,1938,,1,2,2,,,4,2,2,15,1,8,1,1,57,17,4,3,2,4,1,0.1934783791,17,3
1763,1,1,1,1947,,1,1,2,,,5,2,2,1,,2,1,4,48,17,4,3,0,3,2,1.5250170287,17,3
1763,2,2,2,1954,,2,1,2,,,5,2,2,1,,1,2,4,41,17,4,3,0,3,2,1.5250170287,17,3
1763,3,2,3,1973,,3,2,3,,,5,2,2,11,,,,4,22,17,4,3,0,1,2,1.5250170287,17,3
1763,4,2,3,1976,,4,2,3,,,5,2,2,11,,,,4,19,17,4,3,0,1,2,1.5250170287,17,3
1817,1,1,1,1925,,1,1,2,,,3,1,2,15,2,5,1,2,70,8,2,1,2,5,2,0.8380377499,8,1
1817,2,2,2,1924,,2,1,2,,,4,1,2,15,1,1,2,2,71,8,2,1,2,5,2,0.8380377499,8,1
1826,1,1,1,1929,,1,1,2,,,3,1,2,8,,3,1,2,66,8,2,1,2,5,1,0.9830076341,8,1
1826,2,2,2,1930,,2,1,2,,,4,1,2,13,,,,2,65,8,2,1,2,4,1,0.9830076341,8,1
1927,1,2,1,1933,,1,4,3,,,5,2,2,2,,7,1,2,62,5,2,1,2,4,2,3.3303104632,5,1
1927,2,2,3,1974,,2,2,5,3,,5,2,2,17,,,,2,21,5,2,1,2,1,2,3.3303104632,5,1
1946,1,1,1,1953,,1,2,5,2,,4,2,1,16,,,1,6,42,5,2,1,2,3,3,0.8078659347,5,1
1946,2,2,4,1920,,2,4,2,,,3,1,2,16,,,2,6,75,5,2,1,2,5,3,0.8078659347,5,1
1946,3,1,5,1939,,3,3,2,,,4,2,2,12,1,2,,6,56,5,2,1,2,4,3,0.8078659347,5,1
1946,4,1,5,1959,,4,3,3,,,4,2,2,1,,2,,6,36,5,2,1,2,2,3,0.8078659347,5,1
1946,5,2,5,1966,,5,1,3,,,4,2,2,13,,,,6,29,5,2,1,2,1,3,0.8078659347,5,1
1946,6,2,5,1992,,6,2,1,,,4,2,2,18,,,,6,3,5,2,1,2,1,3,0.8078659347,5,1
1953,1,1,1,1929,,1,1,2,,,3,1,1,15,2,6,1,2,66,5,2,1,2,5,2,1.712665481,5,1
1953,2,2,2,1928,,2,1,2,,,3,2,2,16,,,2,2,67,5,2,1,2,5,2,1.712665481,5,1
1988,1,2,1,1919,,1,4,3,,,3,1,2,16,,,1,1,76,5,2,1,2,5,1,0.7783068565,9,2
1989,1,2,1,1936,,2,1,1,,,2,1,2,13,,,1,2,59,5,2,1,2,4,2,0.6465264139,5,1
