NQUEST,NORD,TIPOPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE
26441,1,1,1987,3400,13,2,0,60
26441,1,13,1987,900,13,1,50,
26441,2,15,1970,1200,13,2,0,40
26499,1,3,1970,650,13,2,0,
26585,1,15,1995,1250,13,2,0,
26592,1,1,1991,230,13,2,0,
26641,2,2,1992,300,12,2,0,
26641,3,2,1984,300,12,2,0,
26653,1,3,1993,600,13,2,0,
26653,1,7,1989,1000,13,2,0,
26673,1,3,1985,740,13,2,0,
26673,1,1,1970,570,13,1,11,50
26690,1,1,1989,2000,13,2,0,62
26699,1,1,1988,1800,13,2,0,80
26704,1,1,1991,1750,13,2,0,90
26704,2,1,1994,600,13,2,0,80
26855,1,1,1975,700,13,2,0,
26855,2,1,1965,900,13,2,0,
26875,1,8,1976,2248,13,1,50,
26875,1,4,1983,8,13,2,0,
26878,1,1,1986,1750,13,2,0,80
26926,1,8,1989,700,13,2,0,65
26935,1,1,1988,1000,13,2,0,70
26935,2,1,1990,600,13,2,0,60
27101,1,1,1989,700,12,2,0,100
27101,2,1,1993,700,12,2,0,100
27105,1,1,1995,1500,13,2,0,80
27108,2,1,1957,750,13,2,0,60
27108,3,1,1983,600,13,2,0,50
27109,1,1,1989,1900,13,2,0,80
27114,1,1,1988,750,13,2,0,70
27154,1,1,1976,800,13,2,0,60
27154,2,4,1992,350,13,2,0,
27171,1,1,1979,700,13,2,0,50
27171,2,4,1981,350,13,2,0,
27173,2,1,1990,900,12,2,0,70
27178,1,5,1973,1400,13,2,0,70
27201,4,11,1990,700,12,2,0,
27291,1,1,1981,600,13,2,0,
27295,1,1,1986,930,13,2,0,50
27298,1,2,1993,80,13,2,0,
27371,1,1,1995,1200,6,1,5000,80
27400,1,3,1973,600,13,2,0,
27400,2,2,1969,350,13,2,0,
27463,2,8,1994,1325,13,1,12,59
27503,1,1,1976,900,13,2,0,70
27503,1,3,1976,350,13,2,0,
27503,1,2,1986,500,12,2,0,
27505,1,1,1994,2000,13,2,0,90
27506,1,1,1994,650,13,2,0,65
27506,2,1,1991,2000,13,2,0,80
27509,1,2,1971,930,13,2,0,
27509,2,1,1989,700,13,2,0,70
27511,1,8,1993,2900,13,2,0,92
27621,1,5,1983,1500,13,2,0,90
27644,2,15,1994,1600,13,1,3000,
27739,1,3,1990,600,12,2,0,
27742,1,1,1982,1200,12,2,0,
27744,1,1,1992,800,12,2,0,
27794,1,9,1989,600,13,2,0,
27794,1,6,1990,330,13,2,0,
27795,4,7,1974,500,13,2,0,
27795,4,1,1972,800,13,2,0,
27857,1,11,1950,600,13,2,0,
27881,1,1,1987,1480,13,2,0,85
27881,2,2,1985,350,13,2,0,
27929,1,5,1987,2500,13,2,0,80
27929,2,5,1994,2300,13,2,0,100
27930,1,5,1993,2100,13,2,0,100
27947,1,1,1994,1200,12,2,0,60
27947,2,4,1978,600,13,2,0,
28012,1,1,1981,1300,13,2,0,100
28012,2,4,1984,650,13,2,0,
28073,1,1,1986,285,13,2,0,
28073,2,1,1994,1050,13,2,0,
28075,1,1,1993,1200,13,2,0,80
28075,2,1,1995,1150,10,2,0,80
28125,1,1,1983,1400,13,2,0,80
28125,2,1,1985,700,13,2,0,
28146,1,1,1986,1950,13,2,0,60
28219,1,1,1993,600,13,2,0,30
28220,1,1,1988,1300,13,2,0,90
28220,1,2,1988,500,13,2,0,
28221,1,1,1991,2627,13,2,0,90
28230,1,1,1971,1300,13,2,0,85
28230,2,2,1983,500,13,2,0,
28246,1,3,,1200,13,2,0,
28306,1,2,1963,428,13,2,0,
28306,1,1,1963,1500,13,2,0,50
28321,1,1,1991,550,13,2,0,
28321,1,3,1955,260,13,2,0,
28327,1,3,1969,550,13,2,0,
28327,3,1,1973,560,13,2,0,
28331,1,1,1980,620,13,2,0,
28331,2,1,1984,615,13,2,0,
28332,1,12,1977,682,12,2,0,
28346,1,1,1986,1000,13,2,0,65
28346,2,1,1988,625,13,2,0,
28354,1,5,1975,2000,13,2,0,20
28354,2,5,1989,2000,13,2,0,90
28360,1,1,1977,1300,13,2,0,25
28360,1,1,1980,10,13,2,0,50
28362,1,1,1988,3300,13,2,0,70
28362,1,13,1988,700,13,2,0,
28439,1,1,1995,900,3,2,0,100
28444,1,1,1988,1250,13,2,0,70
28444,1,11,1984,1250,13,2,0,
28446,1,1,1995,1800,13,2,0,80
28448,1,1,1994,1500,13,2,0,80
28859,1,1,1988,862,13,2,0,90
28859,2,1,1975,666,13,2,0,85
28877,1,8,1986,1650,13,2,0,90
28877,2,8,1984,1800,13,2,0,85
28918,1,8,1986,100,13,2,0,
28920,1,5,1976,2200,13,2,0,80
28920,2,5,1977,2000,13,2,0,80
28923,2,1,1988,1800,13,2,0,
28924,1,9,1991,1400,13,2,0,
28926,1,7,1945,850,13,2,0,
28932,1,3,1992,1260,13,2,0,
28935,1,1,1957,600,13,2,0,
28936,1,3,1973,1100,13,2,0,
28945,1,8,1990,5000,13,2,0,90
28945,2,8,1993,2900,13,2,0,80
28992,1,1,1993,2000,12,2,0,80
28999,1,8,1981,2000,13,2,0,80
29043,1,1,1969,875,13,2,0,80
29102,1,1,1992,1500,13,2,0,70
29107,2,1,1993,870,13,2,0,40
29109,1,1,1992,1700,13,2,0,70
29280,3,1,1981,650,13,2,0,
29280,4,1,1982,650,13,2,0,
29282,1,1,1990,1100,13,2,0,
29282,4,1,1975,600,13,2,0,
29286,1,1,1995,650,12,2,0,
29288,1,1,1989,650,12,2,0,25
29294,1,1,1985,650,13,2,0,
